# 列: group | file | tier | sha256_16 | lines | 说明
	README.md	T1	7b3f48dbe1f7a9b9	133	包说明：目标/事实/收益/负结果黑名单/纪律机制/复现门槛/脱敏说明（源码：t4/share-package/README.md）
01-tcgen05-nvfp4-gemv	host/test_t4_mmq_canon.cpp	T1	15a032605a16c0a9	198	canonical 布局重放单测（宿主）
01-tcgen05-nvfp4-gemv	host/test_t4_mmq_pred.cpp	T1	488b4306729dc3d5	74	接入判据真值表单测（宿主）
01-tcgen05-nvfp4-gemv	src/c58_v11_ggml.cu	T1	b86ecc76b636797c	496	v11：真实 GGML NVFP4 张量零 relayout 接入（canonical 板 = 生产字节）
01-tcgen05-nvfp4-gemv	src/c58_v5_fp4_mma.cu	T1	01c1646746bbe0a0	368	tcgen05 NVFP4(block-scale) MMA 核心：idesc/SF 落点/K=64 子步
01-tcgen05-nvfp4-gemv	src/c58_v9f_gran4.cu	T1	8f8563222ba32e8c	374	B9f warp-specialized 环（32 KB 握手单元）+ 三个判别变体（GRAN4/PRODADDR）
01-tcgen05-nvfp4-gemv	src/c58_v9f_host.cpp	T1	08400809a418284f	312	宿主驱动（Driver API + dlopen，含数值参考）
01-tcgen05-nvfp4-gemv	src/c58_v9f_host_prod.cpp	T1	6e0f151d5c36e21f	342	宿主驱动副本：+生产寻址布局（prodlay）模式
01-tcgen05-nvfp4-gemv	src/t4_mmq.cu	T1	a020c4d152e2ef68	315	llama.cpp 接线点（launch/回读/落盘）
01-tcgen05-nvfp4-gemv	src/t4_mmq.cuh	T1	5cd483b21c94c7aa	22	接缝声明（两处接缝：mmq.cu 与 mmvq.cu，只挂一处会静默失效）
01-tcgen05-nvfp4-gemv	src/t4_mmq_aq.cuh	T1	58008ccb4014de58	192	设备端 A 侧 NVFP4 量化（不吃上游 q8_1 布局）
01-tcgen05-nvfp4-gemv	src/t4_mmq_canon.h	T1	e25ab9c4ace677c2	105	生产接线的布局单一来源（canonical ↔ GGML 记录映射）
01-tcgen05-nvfp4-gemv	src/t4_mmq_pred.h	T1	a9e61924e088645c	129	接入判据（何时接管 NVFP4 MMQ）
01-tcgen05-nvfp4-gemv	src/t4_mmq_ring.cuh	T1	b2ebbf6db4ee37f3	478	生产环内核（真实张量寻址、A 环、SF 段、epilogue）
01-tcgen05-nvfp4-gemv	src/t4_prodaddr_check.cpp	T1	8b560050f920553f	25	与生产布局头的编译期同一性检查
01-tcgen05-nvfp4-gemv	src/t4_prodaddr_layout.h	T1	ba54f3723c5ad671	40	生产寻址参数单一来源（可从 GGUF 头复核）
01-tcgen05-nvfp4-gemv	src/t4_smem_layout.h	T1	7293875298435513	121	动态 smem 尺寸单一来源（宿主/内核共用，防事故）
02-measurement-discipline	board/arm_gate.sh	T1	0b4f2e193e13b972	106	每臂前后闸门（pre/post）：洁净检查 + 残留进程/cmdline 取证
02-measurement-discipline	board/rb2_mem_arm.sh	T1	d28325d01a218536	66	判别臂臂脚本（唯一变量从 expected.tsv 读，不硬编码 sha）
02-measurement-discipline	board/rb2_mem_driver.sh	T1	144fdc23497f6f71	128	宿主编排：构建门→夹具→判据 replay→洁净→预算→上传→两臂→判决（含 BOARD_UNREACHABLE 早退）
02-measurement-discipline	board/t4gate.sh	T1	3d4857339e0b5cfc	152	安灯/停线牌/启停预算/台账 sync（防"等 X 之后再看"把板子等死）
02-measurement-discipline	host/analyze_ring_sweep.py	T1	034dffbd148b78c1	62	环几何扫描的统一口径换算（每步 ms / 段速率，逐位可复现）
02-measurement-discipline	host/audit_ring_cfg.cu	T1	04501d896fb3eaad	67	上板前环几何审计（NCOLS/SMEM/occ 强制判定）
